caseName,type,duration1,sentenceType1,duration2,sentenceType2,duration3,sentenceType3,fineAmount,fineType
2007oncj362,driving offences - regulatory offences,"45 days",imprisonment,2 years,probation,,,"280, 2500, 200",fine
2004canlii10367,N/A,,,,,,,,
2015onca692,weapon - drug offences - court-related offences,"54 months",imprisonment,,,,,,
2001nbca81,assault - weapon,5 years,imprisonment,,,,,,
2015canlii85567,assault,,,12 months,probation,,,,
2012oncj105,mischief - illegal possession,4 months,conditional sentence,,,25 hours,community service,,
2010onca764,N/A,,,,,,,,
2000canlii17017,N/A,,,,,,,,
2016skqb397,homicide - weapon,8 years,imprisonment,,,,,,
2002mbca97,homicide - weapon,7 years,imprisonment,,,,,,
2007oncj101,driving offences,2 years,imprisonment,,,,,,
2010mbqb72,multiple party sentence,,,,,,,,
1983canlii2671,attempt offences - weapon,"102 months",imprisonment,,,,,,
2016onsc7243,drug offences,4 years,imprisonment,,,,,,
2006canlii14215,fraud,10 months,imprisonment,12 months,probation,100 hours,community service,,
2015onsc1885,N/A,,,,,,,,
2013oncj592,child pornography - court-related offences,"1 year",imprisonment,,,,,,
1984canlii2564,sexual assault,6 months,imprisonment,2 years,probation,,,,
1999canlii3017,driving offences,18 years,imprisonment,,,,,,
2013onca552,sexual assault,5 years,imprisonment,,,,,,
2002canlii53983,multiple party sentence,,,,,,,,
2014nsca28,attempt offences - weapon,15 years,imprisonment,,,,,,
2002nbca3,N/A,,,,,,,,
2015skca82,assault - weapon,8 years,imprisonment,,,,,,
